hashtags,is_reply_to,likes,retweets,screen_name,text,timestamp,tweet_url,username,neg,neu,pos,compound
[],False,187242,25297,taylorswift13,Dressing room is litpic.twitter.com/dYCmiCWNLe,2019-11-11 14:01:08,/taylorswift13/status/1193891411860639745,Taylor Swift,0.0,1.0,0.0,0.0
[],False,230599,27441,taylorswift13,"If it don’t fits, I still sits.pic.twitter.com/7HwaEGWrT5",2019-11-10 17:47:35,/taylorswift13/status/1193586009457528833,Taylor Swift,0.0,1.0,0.0,0.0
[],False,185363,20182,taylorswift13,pretty city pic.twitter.com/mBIBfrbFMm,2019-11-09 03:35:59,/taylorswift13/status/1193009311645085697,Taylor Swift,0.0,0.385,0.615,0.4939
[],False,125576,14153,taylorswift13,Earring said SMILE but I stay smirking. pic.twitter.com/g0R19uKl1t,2019-11-07 13:04:03,/taylorswift13/status/1192427495330648065,Taylor Swift,0.0,0.768,0.232,0.277
[],False,134739,16149,taylorswift13,Ya could I get these to go? @ntv_sukkiripic.twitter.com/tNCS9pJTCp,2019-11-07 03:12:36,/taylorswift13/status/1192278652823703552,Taylor Swift,0.0,1.0,0.0,0.0
[],False,79495,7110,taylorswift13,CONGRATULATIONS!!!! https://twitter.com/swiftbunnies/status/1192130210621272064 …,2019-11-07 02:01:05,/taylorswift13/status/1192260651370131458,Taylor Swift,0.0,0.256,0.744,0.7783
[],False,99596,11842,taylorswift13," Tokyo is for Lovers 
: Kayoko Yamamotopic.twitter.com/VVDqh1uAI5",2019-11-07 00:21:45,/taylorswift13/status/1192235653389533192,Taylor Swift,0.0,0.638,0.362,0.5267
[],False,143753,16118,taylorswift13,S/O to all the moms whose adult daughters ask them to take a pic in a hotel hallway bc they’re feeling their outfit - you’re the real mvps pic.twitter.com/ksdwvN58tL,2019-11-06 22:04:44,/taylorswift13/status/1192201172142215168,Taylor Swift,0.0,0.949,0.051,0.128
[],False,119301,15262,taylorswift13,Have arrived in the land of cat cafes and eternal cuteness TOKYO HI  I’m off to stare into pastel aquariums and hug all the people CAN’T WAIT TO SEE YOU GUYS LATER!pic.twitter.com/M2uvgIHe4i,2019-11-06 06:12:16,/taylorswift13/status/1191961478045294592,Taylor Swift,0.0,0.818,0.182,0.7712
[],False,49249,3762,taylorswift13,https://twitter.com/jessejmiller/status/1189946523490144257 …,2019-11-01 00:49:24,/taylorswift13/status/1190068285653602304,Taylor Swift,0.0,1.0,0.0,0.0
[],False,83558,7249,taylorswift13,https://twitter.com/cruelsummer22/status/1189935175158906880 …,2019-11-01 00:45:53,/taylorswift13/status/1190067401200734209,Taylor Swift,0.0,1.0,0.0,0.0
[],False,30173,2138,taylorswift13,https://twitter.com/AnaTswizzle/status/1189935233422053377 …,2019-11-01 00:44:21,/taylorswift13/status/1190067015362457603,Taylor Swift,0.0,1.0,0.0,0.0
[],False,37189,2855,taylorswift13,https://twitter.com/young_swiftie/status/1189791669320708096 …,2019-11-01 00:43:31,/taylorswift13/status/1190066805332688896,Taylor Swift,0.0,1.0,0.0,0.0
['NationalCatDay'],False,133558,22940,taylorswift13,"Hug your cat today. Or don’t, if your cat hates hugs. But anyway. Happy #NationalCatDay from me, Olivia, Meredith, and Benjamin. pic.twitter.com/hCaiDJwF6Y",2019-10-29 18:47:47,/taylorswift13/status/1189252505026387968,Taylor Swift,0.067,0.617,0.316,0.8047
[],False,46125,6070,taylorswift13,"Talked with @zanelowe about @catsmovie + my original song for the film ""Beautiful Ghosts""  Watch the clip now - but we talked about a lot more than that so listen to our full conversation coming next Wednesday on @AppleMusic @Beats1! https://Apple.co/taylorb1 pic.twitter.com/iTbxGVXVPR",2019-10-25 19:30:01,/taylorswift13/status/1187813584891469824,Taylor Swift,0.0,0.901,0.099,0.5255
[],False,300124,61518,taylorswift13,"I said in an interview 13 years ago ""I'm just hoping that I have a second album that does as well as the first & someday get to be a headliner, & always be the same person that I started out as.” Scrolling through your posts has me feeling all the feelings & I want to thank you.pic.twitter.com/nlnjqQgmIL",2019-10-24 19:40:51,/taylorswift13/status/1187453920068734978,Taylor Swift,0.0,0.839,0.161,0.802
[],False,60586,7666,taylorswift13,Be sure to watch next week! https://twitter.com/BBCCiN/status/1187023651838812163 …,2019-10-23 21:39:11,/taylorswift13/status/1187121314630426625,Taylor Swift,0.0,0.73,0.27,0.3802
['tinydesk'],False,99180,12780,taylorswift13,"Tiny desk, BIG mood. Thank you @NPR for that awesome experience, I can’t wait to relive it when #tinydesk comes out!  @BobBoilenpic.twitter.com/P3LdI2wXXU",2019-10-11 16:26:12,/taylorswift13/status/1182693894556966912,Taylor Swift,0.0,0.744,0.256,0.784
[],False,100710,10332,taylorswift13,https://twitter.com/lizzo/status/1181349873087647744 …,2019-10-08 21:54:59,/taylorswift13/status/1181689469998682112,Taylor Swift,0.0,1.0,0.0,0.0
[],False,99213,11654,taylorswift13,"
: Mary Ellen Matthewspic.twitter.com/AoH0UEPM0k",2019-10-08 20:47:04,/taylorswift13/status/1181672379799539712,Taylor Swift,0.0,1.0,0.0,0.0
[],False,87327,10824,taylorswift13,"Had the best time playing Lover on @nbcsnl exactly the way I wrote it, on piano in a quiet moment. A huge thank you to Lenny Pickett for playing on False God! Phoebe was excellent as host & Mary Ellen Matthews is always awesome to work with. Make sure to watch Camila next week!pic.twitter.com/zQ22GdFvDI",2019-10-07 16:34:07,/taylorswift13/status/1181246335552540672,Taylor Swift,0.0,0.601,0.399,0.9802
[],False,107410,12925,taylorswift13,"Threw out our cloaks and our daggers because it’s morning now.. 
: Erik Madigan Heckpic.twitter.com/woz8zpzjtw",2019-09-21 13:49:12,/taylorswift13/status/1175406627920449548,Taylor Swift,0.0,1.0,0.0,0.0
[],False,106488,14802,taylorswift13,"It’s blue, the feeling I got 
: Erik Madigan Heckpic.twitter.com/vlHis2SMIU",2019-09-18 18:25:09,/taylorswift13/status/1174388907250769920,Taylor Swift,0.0,0.857,0.143,0.128
[],False,128932,19481,taylorswift13,"It’s golden, like daylight 
: Erik Madigan Heckpic.twitter.com/TKjINyd9KZ",2019-09-18 14:38:20,/taylorswift13/status/1174331829597261824,Taylor Swift,0.0,0.737,0.263,0.3612
[],False,76409,14326,taylorswift13,"I hadn’t done a @RollingStone cover in 5 years, and hadn’t seen @hiattb since I got in 2 car crashes while driving him around during our interview in 2012.  There were no cars driven this time, but we had a lot to catch up on. 
: Erik Madigan Heck
https://rol.st/2AwAlaJ pic.twitter.com/fwbRYouo8r",2019-09-18 12:30:39,/taylorswift13/status/1174299694304043010,Taylor Swift,0.031,0.969,0.0,-0.1531
[],False,98507,19393,taylorswift13,"The Lover album is open fields, sunsets, + SUMMER. I want to perform it in a way that feels authentic. I want to go to some places I haven’t been and play festivals. Where we didn’t have festivals, we made some. Introducing, Lover Fest East + West! http://TaylorSwift.com pic.twitter.com/IhVPQ8DMUG",2019-09-17 14:29:05,/taylorswift13/status/1173967112735547397,Taylor Swift,0.0,0.701,0.299,0.9422
[],False,99834,13760,taylorswift13,https://twitter.com/NBCTheVoice/status/1173620053557895170 …,2019-09-16 16:08:24,/taylorswift13/status/1173629719310491648,Taylor Swift,0.0,1.0,0.0,0.0
[],False,57605,8441,taylorswift13,"Got to play some new songs from Lover acoustic tonight, this was such an awesome way to celebrate this album finally being out in the world 
: @HogieDave // @GettyVIPpic.twitter.com/P2ZQW9rWJQ",2019-09-09 22:28:58,/taylorswift13/status/1171188777584418818,Taylor Swift,0.0,0.65,0.35,0.9325
[],False,102064,15044,taylorswift13,"Tonight in Paris!!! Thank you to everyone who flew from all over the world to be at the City of Lover Concert! 
: @HogieDave // @GettyVIPpic.twitter.com/rXoCPKfIwb",2019-09-09 22:21:36,/taylorswift13/status/1171186922884096001,Taylor Swift,0.0,0.763,0.237,0.816
[],False,73511,7220,taylorswift13,https://twitter.com/RyanSchocket/status/1168219496974290944 …,2019-09-02 17:55:23,/taylorswift13/status/1168583212630708224,Taylor Swift,0.0,1.0,0.0,0.0
[],False,126566,15205,taylorswift13,MY HEART EXPLODED INTO CONFETTI HEARTS THANK YOU  https://twitter.com/KeithUrban/status/1168196771362824193 …,2019-09-01 18:06:19,/taylorswift13/status/1168223576320815105,Taylor Swift,0.0,0.736,0.264,0.4995
[],False,63472,4557,taylorswift13,"Been sleeping so long in a twenty year dark night, but now I see daylight. pic.twitter.com/8Hpvt5AoEE",2019-08-29 20:59:08,/taylorswift13/status/1167179903260930048,Taylor Swift,0.0,1.0,0.0,0.0
[],False,35922,2855,taylorswift13,It’s nice to have a friend pic.twitter.com/QBPkP1fXnY,2019-08-29 20:53:36,/taylorswift13/status/1167178511251058689,Taylor Swift,0.0,0.455,0.545,0.7184
[],False,36797,2983,taylorswift13,I could never look away pic.twitter.com/IZD2EVmOL2,2019-08-29 20:49:04,/taylorswift13/status/1167177367187574784,Taylor Swift,0.0,1.0,0.0,0.0
[],False,28098,2395,taylorswift13,Meet me in the afterglow pic.twitter.com/cdxp07JAH4,2019-08-29 20:41:51,/taylorswift13/status/1167175550932267008,Taylor Swift,0.0,1.0,0.0,0.0
[],False,34861,2667,taylorswift13,"I counted days, I counted miles...to see you there. pic.twitter.com/20FPwtfa3T",2019-08-29 20:38:33,/taylorswift13/status/1167174723123470337,Taylor Swift,0.0,1.0,0.0,0.0
[],False,31583,2787,taylorswift13,And I’ll never let you GO cause I know this is a FIGHT that someday we’re gonna WIN pic.twitter.com/iODaImf5iy,2019-08-29 20:33:27,/taylorswift13/status/1167173440215887873,Taylor Swift,0.134,0.684,0.182,0.296
['StellaxTaylorSwift'],False,48714,7056,taylorswift13,"Like a Tennessee Stella McCartney  The full #StellaxTaylorSwift line is available until midnight eastern tonight! 

Https://store.taylorswift.com pic.twitter.com/PQIoilR7H1",2019-08-29 16:55:40,/taylorswift13/status/1167118633480400901,Taylor Swift,0.0,0.851,0.149,0.4199
[],False,66873,5139,taylorswift13,I can still see it all in my mind pic.twitter.com/9rMzqSzkEi,2019-08-28 20:52:00,/taylorswift13/status/1166815720803622912,Taylor Swift,0.0,1.0,0.0,0.0
[],False,41219,3262,taylorswift13,I look through the windows of this love pic.twitter.com/0YHKbnwAnt,2019-08-28 20:44:43,/taylorswift13/status/1166813887267840001,Taylor Swift,0.0,0.615,0.385,0.7184
